,preco,quartos,suites,vagas,m2,bairro,zona_centro,zona_leste,zona_norte,zona_oeste,zona_sul
0,3200000,4,4,3,420,Pacaembu,1,0,0,0,0
1,3500000,4,1,5,301,Pacaembu,1,0,0,0,0
2,2400000,4,3,6,293,Jardim Paulista,1,0,0,0,0
3,1500000,5,0,6,300,Ipiranga,1,0,0,0,0
4,957000,2,0,1,222,Ipiranga,1,0,0,0,0
5,636000,2,0,3,216,Ipiranga,1,0,0,0,0
6,749000,3,1,2,180,Vila Arapuã,1,0,0,0,0
7,595000,3,1,3,140,Ipiranga,1,0,0,0,0
8,470000,3,0,2,150,Ipiranga,1,0,0,0,0
9,4250000,4,4,4,500,Jardim Paulista,1,0,0,0,0
10,350000,2,0,1,120,Ipiranga,1,0,0,0,0
11,2258000,3,2,2,250,Higienópolis,1,0,0,0,0
12,480000,2,0,1,82,Jardim Internacional,1,0,0,0,0
13,2800000,3,1,2,203,Jardim Paulista,1,0,0,0,0
14,3500000,4,2,5,380,Pacaembu,1,0,0,0,0
15,5500000,5,5,5,600,Pacaembu,1,0,0,0,0
16,2800000,4,3,4,217,Pacaembu,1,0,0,0,0
17,2800000,3,1,4,250,Pacaembu,1,0,0,0,0
18,1900000,3,1,3,240,Pacaembu,1,0,0,0,0
19,8800000,4,4,4,504,Jardim Paulista,1,0,0,0,0
20,850000,3,1,3,167,Ipiranga,1,0,0,0,0
21,620000,3,0,3,200,Brás,1,0,0,0,0
22,3500000,4,1,5,301,Pacaembu,1,0,0,0,0
23,2400000,4,3,6,293,Jardim Paulista,1,0,0,0,0
24,3200000,4,4,3,420,Pacaembu,1,0,0,0,0
25,1500000,5,0,6,300,Ipiranga,1,0,0,0,0
26,957000,2,0,1,222,Ipiranga,1,0,0,0,0
27,636000,2,0,3,216,Ipiranga,1,0,0,0,0
28,749000,3,1,2,180,Vila Arapuã,1,0,0,0,0
29,595000,3,1,3,140,Ipiranga,1,0,0,0,0
30,470000,3,0,2,150,Ipiranga,1,0,0,0,0
31,4250000,4,4,4,500,Jardim Paulista,1,0,0,0,0
32,350000,2,0,1,120,Ipiranga,1,0,0,0,0
33,2258000,3,2,2,250,Higienópolis,1,0,0,0,0
34,480000,2,0,1,82,Jardim Internacional,1,0,0,0,0
35,2800000,3,1,2,203,Jardim Paulista,1,0,0,0,0
36,3500000,4,2,5,380,Pacaembu,1,0,0,0,0
37,5500000,5,5,5,600,Pacaembu,1,0,0,0,0
38,2800000,4,3,4,217,Pacaembu,1,0,0,0,0
39,2800000,3,1,4,250,Pacaembu,1,0,0,0,0
40,1900000,3,1,3,240,Pacaembu,1,0,0,0,0
41,8800000,4,4,4,504,Jardim Paulista,1,0,0,0,0
42,850000,3,1,3,167,Ipiranga,1,0,0,0,0
43,620000,3,0,3,200,Brás,1,0,0,0,0
44,2400000,4,3,6,293,Jardim Paulista,1,0,0,0,0
45,3500000,4,1,5,301,Pacaembu,1,0,0,0,0
46,3200000,4,4,3,420,Pacaembu,1,0,0,0,0
47,1500000,5,0,6,300,Ipiranga,1,0,0,0,0
48,957000,2,0,1,222,Ipiranga,1,0,0,0,0
49,636000,2,0,3,216,Ipiranga,1,0,0,0,0
50,749000,3,1,2,180,Vila Arapuã,1,0,0,0,0
51,595000,3,1,3,140,Ipiranga,1,0,0,0,0
52,470000,3,0,2,150,Ipiranga,1,0,0,0,0
53,4250000,4,4,4,500,Jardim Paulista,1,0,0,0,0
54,350000,2,0,1,120,Ipiranga,1,0,0,0,0
55,2258000,3,2,2,250,Higienópolis,1,0,0,0,0
56,480000,2,0,1,82,Jardim Internacional,1,0,0,0,0
57,2800000,3,1,2,203,Jardim Paulista,1,0,0,0,0
58,3500000,4,2,5,380,Pacaembu,1,0,0,0,0
59,5500000,5,5,5,600,Pacaembu,1,0,0,0,0
60,2800000,4,3,4,217,Pacaembu,1,0,0,0,0
61,2800000,3,1,4,250,Pacaembu,1,0,0,0,0
62,1900000,3,1,3,240,Pacaembu,1,0,0,0,0
63,8800000,4,4,4,504,Jardim Paulista,1,0,0,0,0
64,850000,3,1,3,167,Ipiranga,1,0,0,0,0
65,620000,3,0,3,200,Brás,1,0,0,0,0
66,2400000,4,3,6,293,Jardim Paulista,1,0,0,0,0
67,3200000,4,4,3,420,Pacaembu,1,0,0,0,0
68,3500000,4,1,5,301,Pacaembu,1,0,0,0,0
69,1500000,5,0,6,300,Ipiranga,1,0,0,0,0
70,957000,2,0,1,222,Ipiranga,1,0,0,0,0
71,636000,2,0,3,216,Ipiranga,1,0,0,0,0
72,749000,3,1,2,180,Vila Arapuã,1,0,0,0,0
73,595000,3,1,3,140,Ipiranga,1,0,0,0,0
74,470000,3,0,2,150,Ipiranga,1,0,0,0,0
75,4250000,4,4,4,500,Jardim Paulista,1,0,0,0,0
76,350000,2,0,1,120,Ipiranga,1,0,0,0,0
77,2258000,3,2,2,250,Higienópolis,1,0,0,0,0
78,480000,2,0,1,82,Jardim Internacional,1,0,0,0,0
79,2800000,3,1,2,203,Jardim Paulista,1,0,0,0,0
80,3500000,4,2,5,380,Pacaembu,1,0,0,0,0
81,5500000,5,5,5,600,Pacaembu,1,0,0,0,0
82,2800000,4,3,4,217,Pacaembu,1,0,0,0,0
83,2800000,3,1,4,250,Pacaembu,1,0,0,0,0
84,1900000,3,1,3,240,Pacaembu,1,0,0,0,0
85,8800000,4,4,4,504,Jardim Paulista,1,0,0,0,0
86,850000,3,1,3,167,Ipiranga,1,0,0,0,0
87,620000,3,0,3,200,Brás,1,0,0,0,0
88,3200000,4,4,3,420,Pacaembu,1,0,0,0,0
89,3500000,4,1,5,301,Pacaembu,1,0,0,0,0
90,2400000,4,3,6,293,Jardim Paulista,1,0,0,0,0
91,1500000,5,0,6,300,Ipiranga,1,0,0,0,0
92,957000,2,0,1,222,Ipiranga,1,0,0,0,0
93,636000,2,0,3,216,Ipiranga,1,0,0,0,0
